Category,Topic,Keywords,Description,Do,Don't,Code Example,Notes,Docs URL
Dev,Metro config Kaplun,metro withNativewind inlineRequires web reanimated stub,Metro: NativeWind wrap + inlineRequires + web reanimated/worklets stubs.,Preserve getTransformOptions after withNativewind; keep web aliases.,Remove web stubs and import reanimated on web.,"// metro.config.js — withNativewind + web stubs for reanimated/worklets",See AGENTS.md Reanimated web crash #8285.,https://docs.expo.dev/guides/customizing-metro/
Dev,Platform extensions,ios.tsx android.tsx web.tsx platform specific modules,Metro resolves .ios/.android/.web before base file.,Use .web.tsx for Reanimated-safe variants.,Duplicate entire screens when a tiny platform fork suffices.,"ClayAnimatedButton.tsx\nClayAnimatedButton.web.tsx",Router also documents platform-specific routes.,https://docs.expo.dev/router/advanced/platform-specific-modules/
Auth,Auth solutions Clerk,Clerk Better Auth Supabase Cognito Firebase Expo auth,Prefer hosted auth when possible; Clerk has first-class Expo support.,Keep using @clerk/expo + tokenCache; follow Kaplun AuthGate.,Roll a custom password DB in the app without OWASP review.,"import { ClerkProvider } from '@clerk/expo';\nimport { tokenCache } from '@clerk/expo/token-cache';",Docs list Clerk Better Auth Supabase Cognito Firebase.,https://docs.expo.dev/develop/authentication/
Auth,OAuth Sign in with Apple Google,Sign in with Apple Google Play review OAuth,Store review: Google Sign-In may require Sign in with Apple on iOS and vice versa on Play.,Plan provider parity before adding social buttons.,Ship Google-only on iOS without Apple option.,"// Prefer Clerk social connections configured in dashboard",Email/password or magic link alone often enough for first review.,https://docs.expo.dev/develop/authentication/
Auth,Session storage SecureStore JWT,session JWT SecureStore cookies web native,Native sessions → SecureStore; web often cookies.,Store Kaplun/Clerk tokens via SecureStore/tokenCache; never AsyncStorage for secrets.,Persist long-lived IG tokens in plain AsyncStorage.,"await SecureStore.setItemAsync('session', jwt);",Auth guide session model.,https://docs.expo.dev/develop/authentication/
Debug,Redbox Yellowbox LogBox,Redbox Yellowbox console.warn console.error stack trace,Fatal Redbox vs Yellowbox warnings via LogBox.,Read stack traces; isolate with minimal repro; search exact message.,Ignore Yellowbox until release.,"console.warn('Unexpected empty thread');\nthrow new Error('bridge_failed');",Kaplun prefers addLog() over console.log for app logging.,https://docs.expo.dev/debugging/errors-and-warnings/
Debug,Runtime debugging isolate,debug isolate minimal reproducible Expo CLI DevTools,Isolate failing code; revert to known good; bisect changes.,Use RN DevTools/profiler; prebuild for native IDE debugging when needed.,Debug only on production OTA without repro steps.,"npx expo start\n# native: npx expo prebuild -p android && open Android Studio",Delete generated native dirs after one-off native debug if using CNG.,https://docs.expo.dev/debugging/runtime-issues/
Testing,jest-expo preset,jest-expo preset transformIgnorePatterns Testing Library,jest-expo mocks Expo native modules; RNTL for component tests.,Use preset jest-expo; configure transformIgnorePatterns for Expo/RN packages.,Forget to transpile expo/nativewind packages (mystery SyntaxErrors).,"\"jest\": { \"preset\": \"jest-expo\", \"setupFilesAfterEnv\": [\"<rootDir>/jest.setup.ts\"] }",Windows: expo install ... \"--\" --dev.,https://docs.expo.dev/develop/unit-testing/
Testing,React Native Testing Library,testing-library react-native render fireEvent,RNTL queries components like web Testing Library.,Prefer getByRole/text; use Kaplun test-utils helpers.,Snapshot giant screens as the only test.,"import { render, screen } from '@testing-library/react-native';",Install via bun expo install @testing-library/react-native --dev.,https://docs.expo.dev/develop/unit-testing/
Navigation,Modal presentation,modal transparentModal formSheet Stack.Screen presentation,Present screens as modal/sheet via Stack options.,Use presentation modal for secondary flows; keep primary nav in tabs/stack.,Use modals for the app's primary information architecture.,"<Stack.Screen name='new' options={{ presentation: 'modal' }} />",Combine with safe-area padding.,https://docs.expo.dev/router/advanced/modals/
Navigation,Screen titles headers,Stack.Screen title headerRight headerShown,Set concise titles; optional header actions.,Keep titles short; hide headers when Clay chrome owns the top.,Long truncating titles; destructive header actions without confirm.,"<Stack.Screen options={{ title: 'Automate', headerShown: false }} />",Kaplun often headerShown false on tab roots.,https://docs.expo.dev/router/advanced/stack/
Distribute,EAS Build Update submit,EAS Build Submit Update Orbit preview production,Cloud build/submit/OTA via EAS when shipping stores.,Use preview/production profiles for splash/icon verification and store builds.,Ship untested JS-only to stores without a native rebuild when plugins changed.,"eas build --platform ios --profile production\neas submit -p ios",Kaplun has no EAS config in-repo yet — add when ready to ship.,https://docs.expo.dev/deploy/build-project/
Distribute,Web export,expo export web dist publish web,Export web bundle; Kaplun gitignores dist/.,Use bun start --web for local; export for static hosting when needed.,Commit dist/ web-build/ artifacts.,"npx expo export --platform web",Reanimated web stubs required for web target.,https://docs.expo.dev/deploy/web/
Overview,Create SDK 57 project,create-expo-app template default@sdk-57 bun,New projects: pin template default@sdk-57 during SDK transitions.,Use --template default@sdk-57 for SDK 57 apps.,Assume create-expo-app@latest without template is always latest SDK.,"bun create expo --template default@sdk-57",Docs note transition periods may default to older SDK for Expo Go.,https://docs.expo.dev/get-started/create-a-project/
Overview,Docs for agents,llms-full.txt llms.txt skills MCP Expo agents,Expo publishes llms-full.txt and agent skills for tooling.,Prefer versioned SDK 57 docs + this csv for Kaplun decisions.,Follow generic RN web advice that fights Expo Router.,"https://docs.expo.dev/llms-full.txt\nhttps://docs.expo.dev/versions/v57.0.0/",Also expo/skills on GitHub for project-structure etc.,https://docs.expo.dev/develop/ai-agents-and-expo/
