Category,Topic,Keywords,Description,Do,Don't,Code Example,Notes,Docs URL
Setup,TypeScript types,nativewind-env.d.ts reference types triple slash,NativeWind augments RN types via declaration merging.,"Create nativewind-env.d.ts with triple-slash reference to nativewind/types and include it in tsconfig.",Name the file nativewind.d.ts or clash with a folder name,"/// <reference types=""nativewind/types"" />",Kaplun already has nativewind-env.d.ts at repo root.,https://www.nativewind.dev/docs/getting-started/typescript
Setup,Import global CSS once,import global.css _layout root entry,Import the CSS entry once at the app root so Metro/NativeWind compile styles.,Import '@/global.css' in src/app/_layout.tsx only.,Import global.css in every screen or forget the root import.,"// src/app/_layout.tsx\nimport '@/global.css';",Without this import className utilities will not resolve at runtime.,https://www.nativewind.dev/docs/getting-started/installation
API,cssInterop,cssInterop className target nativeStyleToProp third party,Tag components so runtime resolves className into styles — for custom native or third-party only.,Use cssInterop when a component does not forward className or needs style attrs as props.,Use cssInterop on every Kaplun component; prefer @/tw useCssElement for first-party.,"import { cssInterop } from 'nativewind';\ncssInterop(TextInput, {\n  className: { target: 'style', nativeStyleToProp: { textAlign: true } },\n  placeholderClassName: { target: false, nativeStyleToProp: { color: 'placeholderTextColor' } },\n});",cssInterop has a runtime cost — resolve styles inject handlers etc.,https://www.nativewind.dev/docs/api/css-interop
API,remapProps,remapProps multiple style props FlatList contentContainerClassName,Create className aliases for third-party components with several *Style props.,Use remapProps for FlatList-like APIs with contentContainerStyle etc.,Manually wrap every style prop with cssInterop when remapProps suffices.,"import { remapProps } from 'nativewind';\nremapProps(FlatList, {\n  className: 'style',\n  contentContainerClassName: 'contentContainerStyle',\n  columnWrapperClassName: 'columnWrapperStyle',\n  ListHeaderComponentClassName: 'ListHeaderComponentStyle',\n});",remapProps passes a special empty-looking object so third-party code is not broken.,https://www.nativewind.dev/docs/api/remap-props
API,useColorScheme,useColorScheme colorScheme setColorScheme toggleColorScheme darkMode,Read and override device color scheme via NativeWind hook.,Use useColorScheme to read; require darkMode class strategy before set/toggle.,Call setColorScheme while darkMode is media (throws).,"import { useColorScheme } from 'nativewind';\nconst { colorScheme, setColorScheme, toggleColorScheme } = useColorScheme();",Under the hood: Appearance on native prefers-color-scheme on web.,https://www.nativewind.dev/docs/api/use-color-scheme
API,vars CSS variables,vars custom properties runtime cascade theme dynamic,Set CSS variables from JS so values cascade to descendants.,Use style={vars({ '--brand': color })} for dynamic theming islands.,Scatter text-[#hex] arbitrary colors when a token or var would cascade.,"import { vars } from 'nativewind';\n<View style={vars({ '--brand': brandColor })}>\n  <Text className='text-[--brand]'>Brand</Text>\n</View>",Reactive — children update when vars change.,https://www.nativewind.dev/docs/api/vars
API,useUnstableNativeVariable,useUnstableNativeVariable CSS variable read javascript prop,Read a resolved CSS variable value in JavaScript.,Use to pass theme colors into third-party props that need a color string.,Use for styling when className or @/tw useCSSVariable would suffice.,"import { useUnstableNativeVariable } from 'nativewind';\nconst brand = useUnstableNativeVariable('--color-primary');\n<ThirdParty color={brand} />",API may change (unstable). Kaplun also exports useCSSVariable from @/tw.,https://www.nativewind.dev/docs/api/vars
API,StyleSheet internal only,NativeWindStyleSheet registerCompiled getFlag deprecated v2,v4/v5 StyleSheet helpers are build/runtime internals — not app API.,Use useColorScheme for appearance; leave StyleSheet internals alone.,Call NativeWindStyleSheet.setOutput/setAppearance from v2/v3.,"import { useColorScheme } from 'nativewind';\nconst { colorScheme } = useColorScheme();",NativeWindStyleSheet API from v2/v3 no longer exists.,https://www.nativewind.dev/docs/api/native-wind-style-sheet
API,withNativeWind options,withNativeWind input output inlineRem experiments inlineAnimations,Metro HOC options: input/output/inlineRem/configPath/hotServerOptions + experiments.,Only set options you need; Kaplun currently uses typescriptEnvPath + globalClassNamePolyfill.,Enable experiments.inlineAnimations casually during active UI fast-refresh work.,"withNativewind(config, {\n  globalClassNamePolyfill: false,\n  typescriptEnvPath: 'nativewind-env.d.ts',\n  // experiments: { inlineAnimations: true } // Reanimated perf vs fast-refresh tradeoff\n});",inlineRem defaults to 14 on native; false disables rem inlining.,https://www.nativewind.dev/docs/api/with-nativewind
Platform,Platform variants,ios android web native windows osx platform modifiers,Apply styles per platform with Tailwind platform variants.,Use ios: android: web: native: for real platform differences.,Create duplicate component files when a prefix would suffice.,"<View className='ios:shadow-md android:elevation-5 native:bg-canvas web:bg-white' />",native: = all platforms except web.,https://www.nativewind.dev/docs/core-concepts/differences
Platform,Explicit styles always,explicit styles light dark conditional transitions quirks,RN has bugs with conditionally-only styles — always declare both sides.,Provide default + dark: (or both states) together especially for transitions.,Apply only dark:text-white with no light default.,"<Text className='text-ink dark:text-on-dark' />",Critical for animations/transitions on native.,https://www.nativewind.dev/docs/core-concepts/quirks
Platform,dp vs px,dp px density independent rem fontSize units,NativeWind treats dp and px as equivalent; prefer px in theme values.,Use 10px-style values in @theme/arbitrary classes and let NativeWind normalize.,Assume web px and RN dp will match without checking.,"<View className='w-[44px] h-[44px]' />",Text rem: 14 on native 16 on web by default.,https://www.nativewind.dev/docs/core-concepts/differences
Platform,Flex defaults RN,flex-1 flex-col flexDirection alignContent flexShrink Yoga,RN flex defaults differ from web (column flexShrink 0 alignContent flex-start).,Explicitly set flex-col/flex-row and use flex-1 for fill layouts.,Assume web flex defaults (row shrink 1).,"<View className='flex-1 flex-col'>\n  <View className='flex-1' />\n</View>",Yoga 3 (RN 0.74+) fixed row-reverse margin/padding edge flip.,https://www.nativewind.dev/docs/core-concepts/quirks
Platform,Unsupported web-only utilities,grid unsupported class native web-only compatibility,NativeWind accepts all classes but only applies supported styles on native.,Prefer flex layouts on native; gate web-only utilities with web:.,Expect grid or other web-only utilities to work on iOS/Android.,"<View className='flex-row web:grid web:grid-cols-3' />",Check utility docs compatibility tables when unsure.,https://www.nativewind.dev/docs/core-concepts/tailwindcss
States,Hover focus active,hover focus active Pressable TextInput onPressIn onHoverIn,Pseudo-classes map to RN event props on compatible components.,Use active: on Pressable; hover:/focus: only where events exist.,Use hover: on View/Text which lack onHoverIn/Out.,"<Pressable className='bg-primary active:bg-primary-active'>\n  <Text className='text-on-primary'>Tap</Text>\n</Pressable>",Combine with hover:active:focus: — all must match.,https://www.nativewind.dev/docs/core-concepts/states
States,Disabled and empty,disabled empty TextInput opacity children,Style from disabled prop or empty children.,Use disabled: when disabled={true} is passed; empty: when no children.,Expect disabled: on wrappers that swallow the disabled prop.,"<TextInput className='border-hairline disabled:opacity-50' disabled={isDisabled} />",empty: = component has no children.,https://www.nativewind.dev/docs/core-concepts/states
States,Group parent state,group group-active group-hover group-focus named group children,Style children from parent Pressable/group state.,Add group/{name} on parent and group-active/{name}: on children.,Omit /name when nesting multiple groups (collisions).,"<Pressable className='group/card'>\n  <View className='group-active/card:bg-surface-strong'>\n    <Text className='group-active/card:text-ink'>Title</Text>\n  </View>\n</Pressable>",Works with transitions on group state changes.,https://www.nativewind.dev/docs/core-concepts/states
States,Data attribute selectors,dataSet data-active attribute selector react-native-web,Style from data-* via RN Web dataSet prop.,Use [&[data-active]]: utilities with dataSet={{ active }} when needed.,Rely on data attributes for core Kaplun native UX (prefer props/state).,"<View className=\"[&[data-active]]:bg-brand-mint\" {...{ dataSet: { active: true } }} />",Presence and equality selectors supported.,https://www.nativewind.dev/docs/core-concepts/states
Theming,System dark mode,darkMode media system Appearance userInterfaceStyle Expo,Default follows device appearance via Appearance / prefers-color-scheme.,Keep Expo userInterfaceStyle automatic if following system.,Expect system dark mode without automatic in app.json.,"import { useColorScheme } from 'nativewind';\nconst { colorScheme } = useColorScheme();",Expo requires userInterfaceStyle: 'automatic' for system mode.,https://www.nativewind.dev/docs/core-concepts/dark-mode
Theming,Manual color scheme toggle,colorScheme.set light dark system AsyncStorage persist,Allow user override of light/dark/system.,Offer System option; persist choice; use colorScheme.set from nativewind.,Call set without a class-based darkMode strategy when required by config.,"import { colorScheme } from 'nativewind';\ncolorScheme.set('dark');",Persist with AsyncStorage or similar.,https://www.nativewind.dev/docs/core-concepts/dark-mode
Theming,Dynamic theme vars,vars themes brand christmas useColorScheme cascade,Build multi-theme trees with vars() islands + useColorScheme.,Scope theme vars on a parent View; nest for sub-themes.,Mutate global CSS for per-user theme switches at runtime.,"const themes = {\n  brand: { light: vars({ '--color-primary': 'black' }), dark: vars({ '--color-primary': 'white' }) }\n};\n<View style={themes.brand[colorScheme]}>{children}</View>",Kaplun primary tokens stay in global.css @theme; vars for runtime overrides only.,https://www.nativewind.dev/docs/guides/themes
Layout,Viewport units,vw vh w-screen h-screen Dimensions polyfill,vw/vh polyfilled via Dimensions.get('window').,Use for full-bleed relative to window when flex is insufficient.,Prefer flex-1 over vh for ordinary screen fill.,"<View className='w-screen h-screen' />",Recomputes with window size changes.,https://www.nativewind.dev/docs/core-concepts/units
Layout,Safe area insets,p-safe m-safe env safe-area-inset SafeAreaProvider,NativeWind safe utilities use env(safe-area-inset-*) / safe-area-context on native.,Use p-safe px-safe pt-safe pb-safe or Kaplun screen-shell helpers.,Ignore insets and put CTAs under home indicator.,"<View className='flex-1 bg-canvas p-safe' />\n// or Kaplun: className='pt-safe pb-safe px-md'",Expo Router already wraps SafeAreaProvider. Kaplun also has screen-shell clearance.,https://www.nativewind.dev/docs/tailwind/new-concepts/safe-area-insets
Layout,Safe area utility set,m-safe p-safe mx-safe px-safe my-safe py-safe mt-safe pt-safe,Full safe-area utility set for each edge and axis.,Pick the edge/axis utility that matches the fixed chrome.,Pad every screen with p-safe when only the tab bar needs clearance.,"<View className='pb-safe px-md' />",Web uses CSS env(); Chrome may need -webkit-fill-available on ancestors for h-screen-safe.,https://www.nativewind.dev/docs/tailwind/new-concepts/safe-area-insets
Layout,calc limitations,calc same unit percentage px rem em var limitations,calc() works when operands share a unit family; no mixed % + px.,Use calc with all px or all % (or rem/em consistently).,Write calc(100% - 20px) or put operators inside custom properties.,"width: calc(var(--w) - 20px); /* --w must be px */\nwidth: calc(var(--w) - 20%); /* --w must be % */",Operators cannot live inside the custom property value itself.,https://www.nativewind.dev/docs/core-concepts/functions-and-directives
Layout,var() function,var CSS variable theme arbitrary className,Use var() in theme values arbitrary classes and custom CSS.,Reference --tokens from @theme or vars() ancestors.,Expect operators inside var definitions to evaluate.,"<Text className='text-[--color-ink]' />",Works with calc(var(--x) + 20px) when units match.,https://www.nativewind.dev/docs/core-concepts/functions-and-directives
Layout,Responsive breakpoints caution,responsive breakpoints sm md lg native devices web theme,Default Tailwind breakpoints are web-oriented — not tuned for phones.,Prefer flex and platform variants for mobile layouts; use breakpoints sparingly.,Design phone UI primarily around sm:/md: web breakpoints.,"<View className='flex-col web:md:flex-row' />",Nativewind docs warn default theme is not yet designed for native devices.,https://www.nativewind.dev/docs/core-concepts/responsive-design
Colors,Color on Text not View,text color cascade View Text restrict RN,RN does not cascade color from View to Text.,Put text-* color classes on Text (or TextInput) themselves.,Set text-red-500 on a parent View expecting children to inherit.,"<Text className='text-ink'>Hello</Text>",Common troubleshooting footgun — works on web fails on native.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Colors,Color opacity plugins,textOpacity borderOpacity backgroundOpacity divideOpacity disabled,Dynamic opacity corePlugins disabled for performance; opacity baked into color.,Use text-ink/50 style slash opacity or tokenized translucent colors.,Expect text-opacity-* utilities without enabling plugins.,"<Text className='text-ink/50' />",Re-enable plugins in Tailwind config only if you truly need dynamic opacity vars.,https://www.nativewind.dev/docs/core-concepts/differences
Colors,PlatformColor system colors,platformColor platformSelect systemRed android colorError,Reference OS system colors via nativewind/theme helpers in theme config.,Use platformSelect + platformColor for system semantic colors.,Pass PlatformColor objects directly in className strings.,"const { platformSelect, platformColor } = require('nativewind/theme');\n// theme color: platformSelect({ ios: platformColor('systemRed'), android: platformColor('?android:colorError'), default: 'red' })",Useful for system alerts/dialogs — Kaplun prefers Clay tokens for app UI.,https://www.nativewind.dev/docs/customization/colors
Specificity,Style specificity order,specificity important inline remapped className order,Specificity: !important > inline/remapped (RTL) > className (CSS order).,Use ! only to fix cross-platform remapped conflicts; prefer clean className.,Fight inline styles with more classNames without understanding order.,"<Text className='text-error' style={{ color: 'green' }} /> // green wins\n<Text className='!text-error' style={{ color: 'green' }} /> // error wins",Remapped styles act like inline — order preserved for RN ecosystem.,https://www.nativewind.dev/docs/core-concepts/style-specificity
Specificity,Merge with inline styles,inline style merge className black white,NativeWind merges className with inline style using specificity rules.,Prefer className; use inline for animated/dynamic one-offs only.,Assume className always beats style without !.,"<Text className='text-on-primary' style={{ color: 'black' }} /> // black",Documented in custom components guide.,https://www.nativewind.dev/docs/guides/custom-components
Components,Custom components className merge,custom component defaultStyles variant className props,First-party components should accept className and merge defaults — no cssInterop needed.,Merge default + variant + className via cn; forward ...props.,Call cssInterop when writing your own View/Text wrappers (Kaplun uses useCssElement once in @/tw).,"function Card({ className, ...props }) {\n  return <View className={cn('rounded-lg bg-surface-card p-md', className)} {...props} />;\n}",cssInterop/remapProps are for third-party or custom native modules only.,https://www.nativewind.dev/docs/guides/custom-components
Components,Multiple className props,outerClassName innerClassName textClassName multi style,Components with multiple style targets expose multiple *ClassName props.,Pass className to container and textClassName to label Text.,Collapse all styling into one className when children need separate styles.,"function Row({ className, textClassName }) {\n  return (\n    <View className={className}>\n      <Text className={textClassName}>Hi</Text>\n    </View>\n  );\n}",Mirror FlatList contentContainerClassName pattern.,https://www.nativewind.dev/docs/guides/custom-components
Third-party,Third-party must forward props,third party pick props className style spread,Third-party components that pick only style break NativeWind.,Prefer libs that spread ...props; remapProps/cssInterop when stuck; PR upstream.,Assume every UI kit accepts className.,"// Bad: function Lib({ style }) { return <View style={style} /> }\n// Good: function Lib({ style, ...props }) { return <View style={style} {...props} /> }",Picking props also blocks new RN a11y APIs.,https://www.nativewind.dev/docs/guides/third-party-components
Third-party,FlatList className props,FlatList contentContainerClassName columnWrapperClassName indicatorClassName,Style FlatList regions via remapped className props.,remapProps once at entry; use contentContainerClassName for padding.,Nest Views inside list that break virtualization just to pad.,"remapProps(FlatList, {\n  className: 'style',\n  contentContainerClassName: 'contentContainerStyle',\n  columnWrapperClassName: 'columnWrapperStyle',\n  ListHeaderComponentClassName: 'ListHeaderComponentStyle',\n  ListFooterComponentClassName: 'ListFooterComponentStyle',\n});\n<FlatList className='bg-canvas' contentContainerClassName='px-md pb-safe' />",Kaplun imports FlatList from react-native when needed (no @/tw wrapper yet).,https://www.nativewind.dev/docs
Third-party,SVG cssInterop,react-native-svg Svg Circle fill stroke strokeWidth nativeStyleToProp,Style SVG via cssInterop mapping fill/stroke to props.,Map className→style and nativeStyleToProp for fill stroke strokeWidth height width.,Apply className to Svg/Circle without interop.,"const StyledCircle = cssInterop(Circle, {\n  className: {\n    target: 'style',\n    nativeStyleToProp: { fill: true, stroke: true, strokeWidth: true },\n  },\n});",Kaplun icons use SymbolIcon — SVG interop only for custom vectors.,https://www.nativewind.dev/docs/guides/third-party-components
Fonts,Custom fonts Expo Inter,expo-font Inter OTF PostScript fontFamily useClayFonts,RN fonts are static files — no @font-face no variable fonts no fallback stacks.,Load Inter via Kaplun useClayFonts()/expo-font; map families in @theme.,Use variable Inter file or font-bold alone expecting Inter Bold.,"// Kaplun: useClayFonts() gates AuthGate\n// className uses existing type tokens: text-body-md font-display",File name must match PostScript name or iOS silently fails.,https://www.nativewind.dev/docs/guides/custom-fonts
Fonts,font-bold vs font family,font-bold fontWeight fontFamily inter-semibold,font-bold sets fontWeight — it does not switch to Inter-Bold file.,Use the explicit font-family utility for each weight when using custom fonts.,Expect font-bold to load Inter-Bold automatically.,"<Text className='font-display text-title-sm'>Title</Text>",RN does not support fallback font arrays — first entry only.,https://www.nativewind.dev/docs/guides/custom-fonts
Troubleshooting,Clear Metro cache first,expo start clear reset-cache troubleshooting cache,Stale Metro cache is the #1 NativeWind false bug.,Always bun start / npx expo start --clear before deep debugging.,Debug className bugs against a warm cache with old CSS.,"npx expo start --clear",Also reset-cache for bare RN.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Troubleshooting,Verify Tailwind compile,tailwindcss CLI input output.css missing utility,Confirm the utility exists in compiled CSS before blaming NativeWind runtime.,Run Tailwind CLI on global.css and grep the utility in output.css.,Assume every className string is valid without checking compile output.,"npx tailwindcss --input ./src/global.css --output output.css",If rule missing — Tailwind content paths / @theme issue. If present — runtime/interop issue.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Troubleshooting,verifyInstallation,verifyInstallation nativewind diagnose component scope,Runtime helper confirms NativeWind install inside a React component.,Call verifyInstallation() inside a component body once while diagnosing.,Call it at module top-level / global scope.,"import { verifyInstallation } from 'nativewind';\nfunction Debug() { verifyInstallation(); return null; }",Do not ship in production screens.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Troubleshooting,DEBUG=nativewind,DEBUG nativewind logs Windows PowerShell GitHub issue,Enable NativeWind debug logs when filing issues or tracing transforms.,Set DEBUG=nativewind for the start command; capture logs to a file.,Debug without clearing cache or without DEBUG on all CLI sessions.,"$env:DEBUG='nativewind'; bun start -- --clear\n# or: $env:DEBUG='nativewind'; bun start *> output.log",Community CLI may spawn multiple terminals — set DEBUG on each.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Troubleshooting,Modifiers not applying,modifier hover active focus unsupported prop style,Modifiers need both the style capability and the event prop on the host.,Check the component supports the style key and the activating event.,Put hover: on components without hover handlers.,"<Pressable className='active:opacity-80' />",See states table for event mapping.,https://www.nativewind.dev/docs/getting-started/troubleshooting
Editor,IntelliSense classAttributes,tailwindCSS.classAttributes VS Code remapProps IntelliSense,Teach Tailwind IntelliSense about custom *ClassName props.,Add custom props to tailwindCSS.classAttributes in VS Code settings.,Expect autocomplete on contentContainerClassName without config.,"{\n  \"tailwindCSS.classAttributes\": [\"class\", \"className\", \"contentContainerClassName\", \"headerClassName\"]\n}",Only needed when using remapProps/cssInterop custom prop names.,https://www.nativewind.dev/docs/getting-started/editor-setup
Performance,cssInterop cost,cssInterop performance cost resolve styles event handlers,cssInterop terminates className and runs style resolution — not free.,Limit cssInterop to true third-party/native boundaries; reuse @/tw primitives.,Wrap every leaf in cssInterop.,"// Once at app edge\ncssInterop(ThirdParty, { className: 'style' });",remapProps is lighter when you only need prop renaming.,https://www.nativewind.dev/docs/guides/third-party-components
Performance,inlineAnimations experiment,inlineAnimations reanimated shared values fast refresh,Optional Metro experiment uses Reanimated inline shared values for animation perf.,Enable only after measuring; accept fast-refresh tradeoffs.,Enable during heavy UI iteration that relies on fast refresh.,"withNativewind(config, { experiments: { inlineAnimations: true } });",Known fast-refresh issues with Reanimated inline shared values.,https://www.nativewind.dev/docs/api/with-nativewind
Overview,What NativeWind does,StyleSheet.create compile runtime className universal CSS,Compiles Tailwind to StyleSheet.create on native; className polyfill on web.,Write utility className; share components across platforms.,Rebuild a custom style system with media/hover/container queries by hand.,"import { Text } from '@/tw';\n<Text className='text-body-md text-ink font-display'>Kaplun</Text>",Goals: consistent DX performance maintainability across RN platforms.,https://www.nativewind.dev/docs
Overview,JSX transform no wrappers,JSX transform third party className no boilerplate,NativeWind works via JSX transform — third-party modules can receive className without custom wrappers when they forward props.,Pass className through; interop only when props are picked.,Wrap every dependency in styled() by default.,"<CustomText className='font-bold' {...props} />",Dynamic class lists are fine: join conditional utilities into one string or use cn.,https://www.nativewind.dev/docs
